GeneID	Pooled.screen.phenotype
PF3D7_1108200	HS.Neutral
PF3D7_1433500	HS.Neutral
PF3D7_0601500	HS.Neutral
PF3D7_0622200	HS.Neutral
PF3D7_0801800	HS.Neutral
PF3D7_1362900	HS.Neutral
PF3D7_1040800	HS.Neutral
PF3D7_0614300	HS.Neutral
PF3D7_0811300	HS.Neutral
PF3D7_1221400	HS.Neutral
PF3D7_1348100	HS.Neutral
PF3D7_0616800	HS.Neutral
PF3D7_0909600	HS.Neutral
PF3D7_0831900	HS.Neutral
PF3D7_0404800	HS.Neutral
PF3D7_0407700	HS.Neutral
PF3D7_0808100	HS.Neutral
PF3D7_0531400	HS.Neutral
PF3D7_0500100	HS.Neutral
PF3D7_1458500	HS.Neutral
PF3D7_0532100	HS.Neutral
PF3D7_0425400	HS.Neutral
PF3D7_0700600	HS.Neutral
PF3D7_1200700	HS.Neutral
PF3D7_1136400	HS.Neutral
PF3D7_0725400	HS.Neutral
PF3D7_0420300	HS.Neutral
PF3D7_1339000	HS.Neutral
PF3D7_0907700	HS.Neutral
PF3D7_1233600	HS.Neutral
PF3D7_0705500	HS.Neutral
PF3D7_1409800	HS.Neutral
PF3D7_1249300	HS.Neutral
PF3D7_0220800	HS.Neutral
PF3D7_0529900	HS.Neutral
PF3D7_1324300	HS.Neutral
PF3D7_1337500	HS.Neutral
PF3D7_0628500	HS.Neutral
PF3D7_0603000	HS.Neutral
PF3D7_1112900	HS.Neutral
PF3D7_0421900	HS.Neutral
PF3D7_1369100	HS.Neutral
PF3D7_1447700	HS.Neutral
PF3D7_0936300	HS.Neutral
PF3D7_1316600	HS.Neutral
PF3D7_1448600	HS.Neutral
PF3D7_1205500	HS.Neutral
PF3D7_0930800	HS.Neutral
PF3D7_0112200	HS.Neutral
PF3D7_1307600	HS.Neutral
PF3D7_1315900	HS.Neutral
PF3D7_1410700	HS.Neutral
PF3D7_0918700	HS.Neutral
PF3D7_0824400	HS.Neutral
PF3D7_0311400	HS.Neutral
PF3D7_1147200	HS.Neutral
PF3D7_0114100	HS.Neutral
PF3D7_0524000	HS.Neutral
PF3D7_0627900	A.HS.Sensitive
PF3D7_1305500	A.HS.Sensitive
PF3D7_0705100	A.HS.Sensitive
PF3D7_1122900	A.HS.Sensitive
PF3D7_1206800	A.HS.Sensitive
PF3D7_0511500	A.HS.Sensitive
PF3D7_1141900	A.HS.Sensitive
PF3D7_0619900	A.HS.Sensitive
PF3D7_0704600	A.HS.Sensitive
PF3D7_1406900	A.HS.Sensitive
PF3D7_1360200	A.HS.Sensitive
PF3D7_1316000	A.HS.Sensitive
PF3D7_0623900	A.HS.Sensitive
PF3D7_0203700	A.HS.Sensitive
PF3D7_0322100	A.HS.Sensitive
PF3D7_1426400	A.HS.Sensitive
PF3D7_1350500	A.HS.Sensitive
PF3D7_0604400	A.HS.Sensitive
PF3D7_0807600	HS.and.CG.phenotype
PF3D7_1430000	not.classified
PF3D7_1252300	not.classified
PF3D7_1436200	not.classified
PF3D7_0815000	not.classified
PF3D7_1330500	not.classified
PF3D7_1433900	not.classified
PF3D7_0614500	not.classified
PF3D7_1433600	not.classified
PF3D7_1445200	not.classified
PF3D7_0920300	not.classified
PF3D7_1138900	not.classified
PF3D7_0902200	not.classified
PF3D7_1344000	not.classified
PF3D7_1216100	not.classified
PF3D7_0414600	not.classified
PF3D7_0630100	not.classified
PF3D7_1411100	not.classified
PF3D7_1368800	not.classified
PF3D7_0404600	not.classified
PF3D7_1207300	not.classified
PF3D7_1475700	not.classified
PF3D7_1311900	not.classified
PF3D7_0505100	not.classified
PF3D7_1118100	not.classified
PF3D7_1452500	not.classified
PF3D7_1013600	not.classified
PF3D7_1126200	not.classified
PF3D7_1345800	not.classified
PF3D7_1433400	not.classified
PF3D7_0206100	not.classified
PF3D7_1136600	not.classified
PF3D7_1333400	not.classified
PF3D7_1441800	not.classified
PF3D7_0830900	not.classified
PF3D7_0918300	not.classified
PF3D7_1035700	not.classified
PF3D7_0731000	not.classified
PF3D7_0211100	not.classified
PF3D7_1016500	not.classified
PF3D7_0405400	not.classified
PF3D7_1001200	not.classified
PF3D7_0726000	not.classified
PF3D7_0400100	not.classified
PF3D7_1207800	not.classified
PF3D7_1133700	HS.Neutral
PF3D7_1434200	HS.Neutral
PF3D7_0416500	HS.Neutral
PF3D7_0632800	HS.Neutral
